[24.11.2024, 23:31:30] Моля💂🏽: Детка, с днем рождения тебя❤️ 
Желаю много бабла, много возможностей которые приведут тебя к тем высотам которых ты мечтаешь🙏 
[30.06.2025, 13:05:39] Акнур: ХАХАХАХАХАХА
[30.06.2025, 13:05:39] Моля💂🏽: Вхаххапх
[30.06.2025, 13:05:58] Моля💂🏽: Бля
[30.06.2025, 13:06:01] Моля💂🏽: А ты задай вопрос
[30.06.2025, 13:06:03] Моля💂🏽: Этот ему
[30.06.2025, 13:06:04] Моля💂🏽: Вххаха
[30.06.2025, 13:06:08] Моля💂🏽: Рилс найди
[30.06.2025, 13:06:09] Акнур: Он скажет ебанутая
[30.06.2025, 13:06:10] Акнур: Ахахахахахахаха
[30.06.2025, 13:06:14] Моля💂🏽: Покажи че скажет интересно
[30.06.2025, 13:06:17] Акнур: И так шугается что ли менен
[30.06.2025, 13:06:17] Акнур: Хз
[30.06.2025, 13:06:22] Моля💂🏽: Эааххпхпхппх
[30.06.2025, 13:06:23] Моля💂🏽: Жан
[30.06.2025, 13:06:28] Моля💂🏽: Думаю у него травма
[30.06.2025, 13:06:33] Моля💂🏽: Была ты говорила
[30.06.2025, 13:06:37] Моля💂🏽: И сол ушин шыгар
[30.06.2025, 13:06:40] Акнур: Бляяяя жан он говорит ты ж
Не знаешь Акнур какой я токсичный дейды
[30.06.2025, 13:06:44] Моля💂🏽: Отпусти все сильно не напрягайся
[30.06.2025, 13:06:45] Акнур: Я такая ишмнен
[30.06.2025, 13:06:48] Акнур: Ты будто меня знаешь
[30.06.2025, 13:06:50] Акнур: Полностью
[30.06.2025, 13:06:56] Моля💂🏽: Как в других отношения ты расслабленна такой и будь
[30.06.2025, 13:07:05] Моля💂🏽: Бляяя
[30.06.2025, 13:07:11] Моля💂🏽: Иди нафиг де🤣
[30.06.2025, 13:07:12] Акнур: Да поэтому не хочу ничего просить а то коркытып алам
[30.06.2025, 13:07:14] Акнур: АХАХХААХХАХА
[30.06.2025, 13:07:18] Акнур: На свадьбу пойдем же 5го
[30.06.2025, 13:07:35] Моля💂🏽: В идеале он должен был купить тебе платье
[30.06.2025, 13:07:38] Акнур: Уже на две встречи с одноклассниками и с одногруппниками он взял меня с собой
[30.06.2025, 13:07:40] Акнур: И говорит
[30.06.2025, 13:07:43] Акнур: Вот моя девушка Акнур
[30.06.2025, 13:07:45] Моля💂🏽: Оооо
[30.06.2025, 13:07:47] Моля💂🏽: Ооооо
[30.06.2025, 13:07:51] Моля💂🏽: Базару нетттттттттт
[30.06.2025, 13:08:04] Моля💂🏽: Жан он тобой перед всеми выпендривается
[30.06.2025, 13:08:07] Моля💂🏽: Что пудово
[30.06.2025, 13:08:16] Моля💂🏽: Жан он уже всем говорит все
[30.06.2025, 13:08:23] Моля💂🏽: Начни спрашивать курсын
[30.06.2025, 13:08:34] Акнур: ертен свадьбада папасын кору керек
[30.06.2025, 13:08:50] Моля💂🏽: Коркытып алам десен, содан коркыксан сол озине келед 
Лучше плиз расслабься
[30.06.2025, 13:09:15] Акнур: Его одноклассники спрашивает ктлщики все сколько вы уже встречаетесь деп я говорю мы общаемся как уже 1.5 года начали встречаться недавно десем бля басе Ербол всегда говорил Акнур Акнур за все это время
[30.06.2025, 13:09:16] Акнур: Говорит
[30.06.2025, 13:09:33] Моля💂🏽: Ебааааа
[30.06.2025, 13:09:36] Моля💂🏽: Ахуенно Жанн
[30.06.2025, 13:09:41] Моля💂🏽: Жан он рил любит тебя
[30.06.2025, 13:09:51] Моля💂🏽: Просто расслаьбся и кайфуй
[30.06.2025, 13:10:00] Моля💂🏽: Мужчины чувствуют же это напряжения
[30.06.2025, 13:10:03] Моля💂🏽: Просто отпусти
[30.06.2025, 13:10:03] Акнур: айели болсам один хуй акшасын алып алам
[30.06.2025, 13:10:06] Акнур: Ахаххахаха
[30.06.2025, 13:10:06] Моля💂🏽: Коркытып алам демей
[30.06.2025, 13:10:10] Акнур: Поэтому не спрашиваю я сейчас
[30.06.2025, 13:10:11] Акнур: Ничего
[30.06.2025, 13:10:12] Моля💂🏽: Кнч нахуй
[30.06.2025, 13:10:16] Акнур: Коркытып алмайн
[30.06.2025, 13:10:17] Акнур: Деп
[30.06.2025, 13:10:17] Моля💂🏽: Хахахппхпхпхпх
[30.06.2025, 13:10:21] Моля💂🏽: Жанимммм
[30.06.2025, 13:10:24] Моля💂🏽: Тьфу тьфу тьфу
‎[30.06.2025, 13:10:34] Акнур: ‎image omitted
[30.06.2025, 13:10:37] Акнур: Мынау биз жан
[30.06.2025, 13:10:38] Акнур: Ахахахахаххаха
[30.06.2025, 13:10:52] Акнур: я утку собираю у него в машине
[30.06.2025, 13:10:53] Акнур: Ахахахахах
[30.06.2025, 13:10:55] Моля💂🏽: Прям розовой сен рил
[30.06.2025, 13:11:03] Моля💂🏽: Ахахпхпхпх
[30.06.2025, 13:11:09] Моля💂🏽: Мило го за то
[30.06.2025, 13:11:14] Моля💂🏽: Где нашла их?
[30.06.2025, 13:11:16] Моля💂🏽: Кпц классные
[30.06.2025, 13:11:34] Акнур: Сарысын в Испании купила там же. Есть сеть большая dream duck деген
[30.06.2025, 13:11:38] Акнур: Потом розовый вб дан
[30.06.2025, 13:11:47] Моля💂🏽: Прикольноооо 🤣
‎[30.06.2025, 13:11:56] Акнур: ‎image omitted
[30.06.2025, 13:12:02] Акнур: мынау с Италии
[30.06.2025, 13:12:03] Акнур: Было
[30.06.2025, 13:12:07] Акнур: Траваменн
[30.06.2025, 13:12:08] Акнур: Ахахахаха
[30.06.2025, 13:12:09] Акнур: Утка
[30.06.2025, 13:12:22] Моля💂🏽: Он че уток любит?
[30.06.2025, 13:12:23] Акнур: Я так специально дарю ему
[30.06.2025, 13:12:24] Моля💂🏽: Вхахахахаха
[30.06.2025, 13:12:26] Акнур: Нет
[30.06.2025, 13:12:27] Акнур: Я люблю
[30.06.2025, 13:12:28] Акнур: Ахаххаах
[30.06.2025, 13:12:29] Моля💂🏽: Ты че ему утки да ути
[30.06.2025, 13:12:32] Моля💂🏽: Хаахпхпхпх
[30.06.2025, 13:12:33] Акнур: Утка на удачу же Жан
[30.06.2025, 13:12:35] Акнур: Символ го
[30.06.2025, 13:12:43] Моля💂🏽: Это психологически трюк
[30.06.2025, 13:12:46] Акнур: утка болу керек с собой
[30.06.2025, 13:12:47] Моля💂🏽: Как якорь ты делаешь
[30.06.2025, 13:12:53] Акнур: На удачу на успех ко знак
[30.06.2025, 13:12:58] Акнур: Сол ушин большая сеть ко
[30.06.2025, 13:13:10] Моля💂🏽: Клевер на удачу
[30.06.2025, 13:13:11] Моля💂🏽: Ахахпхпхпх
[30.06.2025, 13:13:17] Моля💂🏽: Прикольно
[30.06.2025, 13:13:22] Моля💂🏽: Я только по клеверу
‎[30.06.2025, 13:13:28] Акнур: ‎image omitted
‎[30.06.2025, 13:13:28] Акнур: ‎image omitted
‎[30.06.2025, 13:13:29] Акнур: ‎image omitted
[30.06.2025, 13:13:36] Акнур: Смотри как их много
[30.06.2025, 13:13:38] Акнур: Хахахахахха
[30.06.2025, 13:14:03] Акнур: If u have a duck u have a luck
[30.06.2025, 13:14:08] Акнур: Сондай фразасы бар
[30.06.2025, 13:14:27] Акнур: Да да сол жаймендеп его вчера одноклассники тоже спрашивают что за утки у тебя в машине деп
[30.06.2025, 13:14:42] Акнур: Все мои племяшки хотят забрать я им не даю дейды го Ербол
[30.06.2025, 13:14:45] Акнур: 😆😆😆😆😆
[30.06.2025, 13:14:52] Моля💂🏽: Неприкольнооо
[30.06.2025, 13:14:57] Моля💂🏽: Маркетинговый ход прям
[30.06.2025, 13:15:08] Моля💂🏽: Хухахпхахпахпх
[30.06.2025, 13:15:11] Моля💂🏽: Правильно
[30.06.2025, 13:15:21] Моля💂🏽: Нахуй отдавать то, что ты подарила
[30.06.2025, 13:16:14] Акнур: Тойдан кейн у него дома будем
[30.06.2025, 13:16:19] Акнур: Жаааан
[30.06.2025, 13:16:20] Акнур: Кстати
[30.06.2025, 13:16:25] Акнур: У него такие красивые
[30.06.2025, 13:16:27] Акнур: Одноклассники
[30.06.2025, 13:16:31] Моля💂🏽: А папа его?
[30.06.2025, 13:16:33] Акнур: Прям знаешь не старый и не щегол
[30.06.2025, 13:16:40] Акнур: Они в разводе
[30.06.2025, 13:16:46] Акнур: Мамасымен живет бул
[30.06.2025, 13:16:51] Моля💂🏽: Аааа
[30.06.2025, 13:16:54] Акнур: Там тоже другая история Жан папасы женат
[30.06.2025, 13:17:03] Моля💂🏽: Это сколько не старый и не щегол еген
[30.06.2025, 13:17:04] Моля💂🏽: Аххапх
[30.06.2025, 13:17:11] Акнур: Ну 95-96 лар дейм да
[30.06.2025, 13:17:17] Акнур: Ну уже сейчас им же 30
[30.06.2025, 13:17:18] Моля💂🏽: Таныстыр
[30.06.2025, 13:17:19] Моля💂🏽: Ахахпх
[30.06.2025, 13:17:27] Моля💂🏽: Сука скоро и мне нахуй
‎[30.06.2025, 13:17:32] Акнур: ‎audio omitted
[30.06.2025, 13:17:37] Моля💂🏽: Жан я пздц насчет этого комплексую
[30.06.2025, 13:17:42] Моля💂🏽: Что мне скоро 30 пздц
[30.06.2025, 13:17:50] Моля💂🏽: Как будто жизнь у меня все закончилось пздц
[30.06.2025, 13:17:54] Моля💂🏽: Че дальше деп
[30.06.2025, 13:18:20] Моля💂🏽: Дааааа
[30.06.2025, 13:21:42] Акнур: Жан
[30.06.2025, 13:21:42] Акнур: Нет
[30.06.2025, 13:21:44] Акнур: Нормально
[30.06.2025, 13:21:49] Акнур: После 35 жизнь только начинается
[30.06.2025, 13:21:57] Акнур: Когда и карьера и Недвижимость болганда
[30.06.2025, 13:22:02] Акнур: Можно уже
[30.06.2025, 13:22:17] Акнур: Хорошо что думаю не вышли замуж так рано
[30.06.2025, 13:22:22] Акнур: артымызда бирдене болады
[30.06.2025, 13:22:27] Акнур: Уверенно омир суретндей
[30.06.2025, 13:22:34] Моля💂🏽: Я на оборот пчм не вышла деп думаю
[30.06.2025, 13:22:35] Акнур: Ьаланы тоже зрелый уакытта тукана
[30.06.2025, 13:22:37] Акнур: Тууга
[30.06.2025, 13:22:43] Акнур: Надо ж ребенка воспитывать
[30.06.2025, 13:22:45] Моля💂🏽: Балаларым уже давно взрослые были б
[30.06.2025, 13:22:54] Моля💂🏽: Если так посмотреть могла б я залететь и выйти
[30.06.2025, 13:22:59] Акнур: Кандай воспитание беретн един озин кишкентай болдын
[30.06.2025, 13:23:02] Моля💂🏽: Но, что то тянуло меня
[30.06.2025, 13:23:04] Моля💂🏽: Страх тянул
[30.06.2025, 13:23:11] Моля💂🏽: И понимала что нк буду счастлива
[30.06.2025, 13:23:24] Моля💂🏽: Жан оны тууды айтсай уже в возрасте
‎[30.06.2025, 13:23:46] Акнур: ‎audio omitted
[30.06.2025, 13:24:09] Моля💂🏽: Казир даже ночью дурыс уйктамасам есим шыгад
[30.06.2025, 13:24:16] Моля💂🏽: Думаю ка кза ребенком буду вставать
[30.06.2025, 13:24:28] Моля💂🏽: Крч у меня сейчас пздц депрессия неделю как 🤣
‎[30.06.2025, 13:24:29] Акнур: ‎audio omitted
[30.06.2025, 13:24:34] Моля💂🏽: Пздц басым катып дур по сути
[30.06.2025, 13:24:41] Акнур: Жигит бар ма
[30.06.2025, 13:24:43] Акнур: Туатын одан
[30.06.2025, 13:24:45] Акнур: Ондай да жок ко
[30.06.2025, 13:24:46] Моля💂🏽: Нет кнч
[30.06.2025, 13:24:48] Акнур: Не басын катып жур
[30.06.2025, 13:24:50] Акнур: 😆😆😆
[30.06.2025, 13:24:56] Моля💂🏽: Аумин
[30.06.2025, 13:28:16] Моля💂🏽: Жан от того, что никого нет и что как будто я все проебала
[30.06.2025, 13:28:19] Моля💂🏽: Сол ушин🤣
[30.06.2025, 13:28:35] Моля💂🏽: В тот раз я блять знаешь из за чего рыдала, птм что уснуть не могла🤣🤣
[30.06.2025, 13:28:50] Моля💂🏽: Мама говорит, ты сама всех отшиваешь че теперь ходишь олим суреп
[30.06.2025, 13:29:04] Моля💂🏽: Блять думаю, а пчм я всех отшиваю 
Блять не те просто нахуй
[30.06.2025, 13:29:07] Моля💂🏽: То коти унамайд
[30.06.2025, 13:29:10] Моля💂🏽: То дальаеб
[30.06.2025, 13:31:39] Акнур: Жан это нормально
[30.06.2025, 13:31:42] Акнур: Унамаса не заставляй
‎[30.06.2025, 13:31:57] Акнур: ‎audio omitted
[30.06.2025, 13:32:21] Акнур: Да даже если 30
[30.06.2025, 13:32:23] Акнур: Будет
[30.06.2025, 13:32:27] Акнур: Адам болып журмз го
‎[30.06.2025, 13:33:09] Акнур: ‎audio omitted
[30.06.2025, 13:33:10] Моля💂🏽: Вот такой у меня принцип вхахах 
Из за этого сразу отшиваю вхахаха
[30.06.2025, 13:33:30] Моля💂🏽: Сол го мне также
[30.06.2025, 13:33:41] Моля💂🏽: 🤣🤣🤣
[30.06.2025, 13:33:43] Моля💂🏽: Бля
[30.06.2025, 13:33:47] Моля💂🏽: 27 тебе
[30.06.2025, 13:33:50] Моля💂🏽: Блять
[30.06.2025, 13:33:54] Моля💂🏽: Какая девственница
[30.06.2025, 13:34:02] Моля💂🏽: Еще сестренкана айткан
[30.06.2025, 13:34:06] Моля💂🏽: Калай кетти
‎[30.06.2025, 13:34:08] Акнур: ‎audio omitted
[30.06.2025, 13:34:22] Моля💂🏽: Омг 🤣🤣🤣
‎[30.06.2025, 13:34:25] Акнур: ‎audio omitted
[30.06.2025, 13:34:33] Моля💂🏽: Блять в таком возрасте если девственница
[30.06.2025, 13:34:37] Моля💂🏽: То уже вопросы
[30.06.2025, 13:34:41] Моля💂🏽: И ниже ставка болмаса
[30.06.2025, 13:34:42] Моля💂🏽: Вхахха
[30.06.2025, 13:34:45] Моля💂🏽: Опыт жок деп
[30.06.2025, 13:34:46] Моля💂🏽: 🤣🤣🤣
[30.06.2025, 13:35:02] Моля💂🏽: Хбляяя
[30.06.2025, 13:35:14] Моля💂🏽: Туыскан хуже врагов епрст
‎[30.06.2025, 13:35:40] Акнур: ‎audio omitted
‎[30.06.2025, 13:36:16] Акнур: ‎audio omitted
[30.06.2025, 13:36:45] Моля💂🏽: Бляяяяяяяя он блять пчм как рыбы у него лунный и астингент случайно не в рыбах
[30.06.2025, 13:36:54] Моля💂🏽: Бля отдохни нахуй
[30.06.2025, 13:37:00] Акнур: 5 шы ноября
[30.06.2025, 13:37:02] Акнур: Др
[30.06.2025, 13:37:05] Моля💂🏽: Это мечта всех рабочих
[30.06.2025, 13:37:13] Моля💂🏽: Я тож хочу как в универе
[30.06.2025, 13:37:22] Моля💂🏽: Деньги от Аллаха
[30.06.2025, 13:37:23] Акнур: ты че такой вечный студент анау мынау деп
[30.06.2025, 13:37:30] Моля💂🏽: Докажи что от Аллаха
[30.06.2025, 13:37:38] Моля💂🏽: А ты докажи что не от него
[30.06.2025, 13:37:40] Акнур: 😆😆😆😆
[30.06.2025, 13:37:42] Акнур: Сол го
[30.06.2025, 13:37:43] Моля💂🏽: Калыров
[30.06.2025, 13:37:50] Акнур: Болат же позвал который мне мак дарил
[30.06.2025, 13:37:51] Моля💂🏽: Зря айтпаган🤣🤣
[30.06.2025, 13:37:51] Акнур: На отдых
[30.06.2025, 13:37:53] Акнур: После актау
[30.06.2025, 13:37:59] Акнур: Бляяяяя барсам палевно уже будет
[30.06.2025, 13:38:01] Акнур: Деп
[30.06.2025, 13:38:02] Акнур: Бармадм
[30.06.2025, 13:38:04] Моля💂🏽: Бля это меята всех
[30.06.2025, 13:38:07] Акнур: Уже тогда считай встречалась
[30.06.2025, 13:38:20] Акнур: Я вот думаю люблю деп много от чего отказываюсь
[30.06.2025, 13:38:22] Акнур: По идее
[30.06.2025, 13:38:26] Моля💂🏽: 🤣🤣🤣
[30.06.2025, 13:38:36] Моля💂🏽: Кстати разве они обо не знакомы
[30.06.2025, 13:38:37] Акнур: Бляяя еще в тугисе палим
[30.06.2025, 13:38:39] Акнур: Бир биримизды
[30.06.2025, 13:38:41] Акнур: Знакомы
[30.06.2025, 13:38:42] Моля💂🏽: Кто мак дарил
[30.06.2025, 13:38:49] Акнур: Фурмановада случайно корип
[30.06.2025, 13:38:50] Акнур: Калдык ко
[30.06.2025, 13:38:51] Акнур: Бля
[30.06.2025, 13:38:52] Моля💂🏽: Тем более нахуй
[30.06.2025, 13:38:58] Моля💂🏽: Пздц
[30.06.2025, 13:38:59] Акнур: Тугис деген сукаа
[30.06.2025, 13:39:41] Акнур: Зарядка местоположение палим
[30.06.2025, 13:39:45] Акнур: Мен жыбырлап хотела его узнать
[30.06.2025, 13:39:54] Акнур: Сойтсем он меня контролирует
[30.06.2025, 13:39:58] Моля💂🏽: Не надо я из-за этого страдаю 
Лучше все делать люблю деп отказывалась от всего и в итоге ноги протерли и ушли 
Себя ставь на первое место то что ты хочешь
[30.06.2025, 13:40:11] Моля💂🏽: 🤣🤣
[30.06.2025, 13:40:11] Акнур: Зарядку поставь вернись домой
[30.06.2025, 13:40:13] Акнур: Деп
[30.06.2025, 13:40:16] Акнур: Пишет
[30.06.2025, 13:40:32] Акнур: Зарядка у тебя мало ты ж сейчас выйдешь
[30.06.2025, 13:40:33] Акнур: Деп
[30.06.2025, 13:40:37] Моля💂🏽: Вхахпхпхпхпхп
[30.06.2025, 13:40:47] Моля💂🏽: Скажи ему свою уверенностьп одними але
[30.06.2025, 13:40:48] Моля💂🏽: Деп
[30.06.2025, 13:40:51] Моля💂🏽: Брать
[30.06.2025, 13:40:55] Моля💂🏽: Давай я по сплю
[30.06.2025, 13:41:01] Моля💂🏽: У меня 20 мин осталось
[30.06.2025, 13:41:02] Моля💂🏽: Аххаахаххпах
[30.06.2025, 13:41:03] Акнур: Ок ок давай давай жазасын го
[30.06.2025, 13:41:07] Моля💂🏽: А то обед бидет
[30.06.2025, 13:41:11] Моля💂🏽: ❤️😘
‎[30.06.2025, 14:15:34] Акнур: ‎image omitted
[30.06.2025, 14:16:00] Моля💂🏽: Бля вхахах
[30.06.2025, 14:16:01] Моля💂🏽: Брат
[30.06.2025, 14:16:10] Моля💂🏽: Мактын турин не истеп тастадынахахахапх
[30.06.2025, 14:16:17] Моля💂🏽: Мактын макы калмады гой
[30.06.2025, 14:23:39] Акнур: чехол
[30.06.2025, 14:23:40] Акнур: Го
[30.06.2025, 14:23:41] Акнур: Сырты
[30.06.2025, 14:51:17] Моля💂🏽: Ааа
[30.06.2025, 14:51:22] Моля💂🏽: Нормуль тогда вхахахах
[12.07.2025, 19:29:56] Акнур:
‎[12.07.2025, 19:29:56] Акнур: ‎image omitted
‎[12.07.2025, 19:29:56] Акнур: ‎image omitted
‎[12.07.2025, 19:29:56] Акнур: ‎image omitted
‎[12.07.2025, 19:29:57] Акнур: ‎image omitted
‎[12.07.2025, 19:29:57] Акнур: ‎image omitted
[12.07.2025, 19:30:01] Акнур: Уксаймызба
[12.07.2025, 19:30:06] Акнур: Анау брелокта
[12.07.2025, 19:30:09] Акнур: Мен и Ербол
[12.07.2025, 19:30:13] Акнур: Заказывать собиралась
[12.07.2025, 19:30:26] Акнур: Нужен совет
[12.07.2025, 19:30:28] Акнур: Со стороны
[12.07.2025, 19:30:50] Моля💂🏽: Дааа
[12.07.2025, 19:30:54] Моля💂🏽: Вот это прям копияяя
[12.07.2025, 19:31:00] Моля💂🏽: Куштии кпц
[12.07.2025, 19:31:03] Моля💂🏽: Такое тож делаю
[12.07.2025, 19:31:05] Моля💂🏽: Кпц класснооо
[12.07.2025, 19:31:16] Акнур: Заказала
[12.07.2025, 19:31:17] Акнур: С Алматы
[12.07.2025, 19:31:20] Акнур: Оказывается
[12.07.2025, 19:31:24] Акнур: Бляя ждать еще 5 дней
[12.07.2025, 19:31:29] Моля💂🏽: Бляяяя ахуенно
[12.07.2025, 19:31:31] Моля💂🏽: Ебать Жан
[12.07.2025, 19:31:37] Акнур: Я у него дома 5 дней уже живу
[12.07.2025, 19:31:37] Моля💂🏽: Романтик боп бара жатырсын гой
[12.07.2025, 19:31:41] Акнур: Пока мамасы не приедет
[12.07.2025, 19:31:47] Моля💂🏽: Что любовь с волком делает
[12.07.2025, 19:31:50] Акнур: Его мама оставила заготовки соны кушаем
[12.07.2025, 19:31:51] Акнур: Ахахахахаха
[12.07.2025, 19:31:51] Моля💂🏽: Дешен осы екен го
[12.07.2025, 19:31:58] Моля💂🏽: Ооооооо
[12.07.2025, 19:32:00] Моля💂🏽: Ебатьь
[12.07.2025, 19:32:03] Акнур: Бляяяя жан я в ахуе каждый день как праздник утром секс ночью секс
[12.07.2025, 19:32:05] Акнур: Я такая ебаааа
[12.07.2025, 19:32:09] Акнур: А че так можно было что ли
[12.07.2025, 19:32:09] Моля💂🏽: От души рахаттанып жур екенсиндер го
[12.07.2025, 19:32:10] Акнур: Вххвхвхвхв
[12.07.2025, 19:32:18] Моля💂🏽: Бляяяяяяяя
[12.07.2025, 19:32:21] Моля💂🏽: Ахуеннооооо
[12.07.2025, 19:32:21] Акнур: секс присутствует у меня в жизни?
[12.07.2025, 19:32:22] Акнур: Деп
[12.07.2025, 19:32:24] Моля💂🏽: Тьфу тьфу тьфу
[12.07.2025, 19:32:31] Акнур: Я не забыла оказывается как надо заниматься деп
[12.07.2025, 19:32:32] Акнур: Ахахаххаха
[12.07.2025, 19:32:33] Моля💂🏽: Еще и утром и вечером ба беп па
[12.07.2025, 19:32:34] Моля💂🏽: Хахахпхпхпхпхп
[12.07.2025, 19:32:39] Акнур: Я помню деп
[12.07.2025, 19:32:45] Моля💂🏽: Озимди айтпая кояйн
[12.07.2025, 19:32:48] Моля💂🏽: Хваххахппхпхпхпх
[12.07.2025, 19:33:00] Акнур: Кеше в лилоу гуляли и все такие
[12.07.2025, 19:33:04] Акнур: И тойда алдын ад
[12.07.2025, 19:33:08] Акнур: Алдында тоже
[12.07.2025, 19:33:09] Моля💂🏽: Эй самое главное бакыттвсын остальное все хуйняяяяя
[12.07.2025, 19:33:10] Акнур: Его сестры
[12.07.2025, 19:33:10] Акнур: Типа
[12.07.2025, 19:33:13] Акнур: А когда замуж?
[12.07.2025, 19:33:15] Акнур: Чем занимаетесь
[12.07.2025, 19:33:20] Акнур: Вы девушка ербол? Да? Деп
[12.07.2025, 19:33:22] Акнур: Подошли
[12.07.2025, 19:33:22] Моля💂🏽: Ооооо
[12.07.2025, 19:33:28] Моля💂🏽: Все зависит от Ербола
[12.07.2025, 19:33:29] Моля💂🏽: Кстати
[12.07.2025, 19:33:33] Моля💂🏽: Папасы калай екен
[12.07.2025, 19:33:40] Акнур: папасы не пришел
[12.07.2025, 19:33:42] Акнур: Уехал по делам
[12.07.2025, 19:33:45] Акнур: За то сестры видимо
[12.07.2025, 19:33:46] Акнур: Ему передали
[12.07.2025, 19:33:51] Акнур: Что он был с девушкой на тон
[12.07.2025, 19:33:52] Акнур: Тое*
[12.07.2025, 19:34:03] Акнур: мы Жан пох и при месячные занимаемся
[12.07.2025, 19:34:07] Моля💂🏽: Ой бууу
[12.07.2025, 19:34:10] Акнур: Кровь онын усти
[12.07.2025, 19:34:15] Акнур: Асылзатты вспомнила
[12.07.2025, 19:34:17] Акнур: Ахаххахаха
[12.07.2025, 19:34:21] Акнур: Ты когда рассказывала
[12.07.2025, 19:34:27] Моля💂🏽: Хваххахпхпхпхппххпхпхп
[12.07.2025, 19:34:29] Акнур: рубашкасы кровь болган
[12.07.2025, 19:34:30] Акнур: Деп
[12.07.2025, 19:34:37] Моля💂🏽: Да блять
[12.07.2025, 19:34:39] Моля💂🏽: Ахахпхп
[12.07.2025, 19:34:44] Моля💂🏽: Прикинь басында конда ты скзала
[12.07.2025, 19:34:49] Моля💂🏽: Думаю ондай болып педи деп
[12.07.2025, 19:34:50] Моля💂🏽: Бля
[12.07.2025, 19:34:53] Моля💂🏽: Потом вспомнила
[12.07.2025, 19:35:01] Моля💂🏽: Как потом соган поникавать ктип
[12.07.2025, 19:35:04] Моля💂🏽: Я сама забыла
[12.07.2025, 19:35:10] Моля💂🏽: Что у меня ваще секс был с кем то
[12.07.2025, 19:35:12] Моля💂🏽: Вхахахахпхпхпх
[12.07.2025, 19:35:18] Акнур: Шыдамай занимались короче
[12.07.2025, 19:35:31] Моля💂🏽: Правильно
[12.07.2025, 19:35:38] Моля💂🏽: Самурай не боится крови 😎
[12.07.2025, 19:35:44] Акнур: утром когда он спит акнур озин сверху истей берш
[12.07.2025, 19:35:46] Акнур: Дейд
[12.07.2025, 19:35:48] Акнур: Я такая ебааа
[12.07.2025, 19:35:58] Моля💂🏽: Ахахпххппхпхпх
[12.07.2025, 19:36:03] Моля💂🏽: Тож такое было
[12.07.2025, 19:36:08] Моля💂🏽: Еще мен сверху
[12.07.2025, 19:36:12] Моля💂🏽: Солай уйктап калгам
‎[12.07.2025, 19:36:14] Акнур: ‎video omitted
[12.07.2025, 19:36:15] Моля💂🏽: Хапхпхпххп
‎[12.07.2025, 19:36:15] Акнур: ‎<attached: -0000208-PHOTO-2025-07-12-19-36-15.jpg>
[12.07.2025, 19:36:18] Моля💂🏽: Асылзат тоже хахаах
[12.07.2025, 19:36:39] Моля💂🏽: Тьфаййййтьфай тьфаййй сендергеее
[12.07.2025, 19:36:43] Моля💂🏽: Такие милашкиииииииии
[12.07.2025, 19:36:47] Акнур: Надо размножаться
[12.07.2025, 19:36:48] Акнур: 😂😂😂
[12.07.2025, 19:36:49] Моля💂🏽: Кпц вы прям подходите
[12.07.2025, 19:36:52] Акнур: Мне нужны его гены
[12.07.2025, 19:36:53] Акнур: Деп
[12.07.2025, 19:36:54] Акнур: Журм
[12.07.2025, 19:37:06] Моля💂🏽: И мои тоже гены десей
[12.07.2025, 19:37:13] Моля💂🏽: Пусть он так же думает
[12.07.2025, 19:37:26] Акнур: Мама айтады осы жылы куйеу деп айтпаш деп
[12.07.2025, 19:37:32] Акнур: Я говорю мам может след году
[12.07.2025, 19:37:34] Акнур: Хотяб
[12.07.2025, 19:37:51] Моля💂🏽: Буйртканв болад детка
[12.07.2025, 19:37:59] Моля💂🏽: Самое нлавное что ты именно ты была счастлива
[12.07.2025, 19:38:12] Акнур: Алдында таро к ар аганбыз Айгерим екеузм
[12.07.2025, 19:38:15] Акнур: Такие карты попали
[12.07.2025, 19:38:18] Акнур: Где он прям боится
[12.07.2025, 19:38:22] Акнур: Закрывается
[12.07.2025, 19:38:27] Акнур: И думает что я хитрая очень
[12.07.2025, 19:38:34] Моля💂🏽: Недеген коркак
[12.07.2025, 19:38:37] Акнур: Боится что не осилит
[12.07.2025, 19:38:42] Моля💂🏽: Тусинетин уакыт болганшыгар ужк
[12.07.2025, 19:38:47] Акнур: И слишком много внимании саган соны карап
[12.07.2025, 19:38:48] Акнур: Ревнует
[12.07.2025, 19:38:50] Акнур: Деп
[12.07.2025, 19:39:47] Моля💂🏽: Правильно, пусть он боится тебя потерять 
А не того, что он как то там тебя не осилит
[12.07.2025, 19:40:10] Акнур: я сказала что мне нужен парфюм деп
[12.07.2025, 19:40:12] Акнур: Блмейм
[12.07.2025, 19:40:14] Акнур: Подарит или нет
[12.07.2025, 19:40:18] Акнур: Я ему брелок
[12.07.2025, 19:40:19] Акнур: Хахахахахахха
[12.07.2025, 19:40:38] Моля💂🏽: Правельный обмен
[12.07.2025, 19:40:49] Моля💂🏽: А ты ему самое ценное себя даришь
[12.07.2025, 19:40:54] Моля💂🏽: Остальное похи
[14.07.2025, 06:32:29] Акнур: Хома пришел ко мне
[14.07.2025, 06:32:29] Акнур: и говорит ты че встречаешься с парнем? С Ербол? Который Асема спала с ним?
[14.07.2025, 06:32:29] Акнур: Я говорю чтоооо?
[14.07.2025, 06:32:29] Акнур: Да такое было один раз Алуа мне рассказала говорит
