[21.01.2025, 17:59:45] Алуа Боевик❤️: Нет
[30.01.2025, 14:04:08] Алуа Боевик❤️: И что то еще
[30.01.2025, 14:06:07] Фас На Минималках🤌: Бомжи не стрессуют
[30.01.2025, 14:06:43] Фас На Минималках🤌: Нахуй СТРЕСС! Тогда здоровым будешь, дэээ
[30.01.2025, 14:06:46] Акнур: Дааа
‎[02.02.2025, 01:39:26] Айман: ‎image omitted
[02.02.2025, 22:38:29] Асем ❤️🤗: ‎Missed video call  ‎Click to call back
[03.02.2025, 11:48:32] Жазира❤️😍🤰: Мы когда нибудь встретимся ?
[03.02.2025, 11:50:33] Алуа Боевик❤️: Бля
[03.02.2025, 11:50:35] Алуа Боевик❤️: Жан
[03.02.2025, 11:50:39] Алуа Боевик❤️: Ты что очнулась
[03.02.2025, 11:50:52] Жазира❤️😍🤰: 🤣
[03.02.2025, 20:14:12] Алуа Боевик❤️: Кыздар
[03.02.2025, 20:14:16] Алуа Боевик❤️: Хотите в кино
[03.02.2025, 20:14:31] Алуа Боевик❤️: Напишите 
Что то захотелось посмотреть
[03.02.2025, 20:15:10] Асем ❤️🤗: Давайте в чт
[03.02.2025, 20:15:31] Алуа Боевик❤️: Окай
‎[03.02.2025, 20:15:46] Алуа Боевик❤️: ‎audio omitted
[03.02.2025, 20:16:30] Айман: В кино ниче нет
[03.02.2025, 20:49:07] Фас На Минималках🤌: 🤪🤪🤪
[04.02.2025, 19:18:39] Алуа Боевик❤️: Кыздар
[04.02.2025, 19:18:49] Алуа Боевик❤️: Что делаете
[04.02.2025, 19:27:15] Жазира❤️😍🤰: Домой еду
[04.02.2025, 19:27:16] Жазира❤️😍🤰: Вы что
[04.02.2025, 19:27:42] Алуа Боевик❤️: По делам выеду с работы 
Но думала
[04.02.2025, 19:27:44] Алуа Боевик❤️: Бля
[04.02.2025, 19:27:49] Алуа Боевик❤️: Давайте завтра увидимся уже
[04.02.2025, 19:27:52] Алуа Боевик❤️: Что это такое
[04.02.2025, 19:27:57] Алуа Боевик❤️: Я возмущена 😂
[04.02.2025, 19:28:12] Алуа Боевик❤️: Надо попиздеть
[04.02.2025, 19:28:19] Алуа Боевик❤️: Я с работы вышла, тоже большой осек
[04.02.2025, 19:28:27] Алуа Боевик❤️: И Алмату обсудить и шенген 😂
[04.02.2025, 19:28:51] Жазира❤️😍🤰: Гиде
[04.02.2025, 19:28:58] Жазира❤️😍🤰: Давайте
[04.02.2025, 19:29:45] Алуа Боевик❤️: К 10
[04.02.2025, 19:29:50] Алуа Боевик❤️: Хочу в креветки
[04.02.2025, 19:29:53] Алуа Боевик❤️: Там вкусное пиво
[04.02.2025, 19:29:58] Алуа Боевик❤️: Мое эль
[04.02.2025, 19:45:27] Фас На Минималках🤌: Днем не можете?
[04.02.2025, 19:45:32] Фас На Минималках🤌: В 14
‎[04.02.2025, 19:47:18] Алуа Боевик❤️: ‎audio omitted
[04.02.2025, 19:47:48] Акнур: В обед можно
[04.02.2025, 19:47:50] Акнур: Я после работы
[04.02.2025, 19:48:01] Акнур: Хотя подожди
[04.02.2025, 19:48:08] Акнур: Надо уточнить в обед сабак бар ма жок пас
[04.02.2025, 19:48:45] Алуа Боевик❤️: Блин у меня к 12 и в 6-8 тренировка
[04.02.2025, 19:48:49] Алуа Боевик❤️: Я не могу
‎[04.02.2025, 19:49:00] Алуа Боевик❤️: ‎audio omitted
[04.02.2025, 19:49:09] Алуа Боевик❤️: Потом пьяная пойду в 6🤣
[04.02.2025, 19:49:13] Асем ❤️🤗: Я тоже после работы
[04.02.2025, 19:49:25] Асем ❤️🤗: Может 8 ч
‎[04.02.2025, 19:49:49] Алуа Боевик❤️: ‎audio omitted
[05.02.2025, 01:26:17] Айман: Не хватает каких то приключений как за границей
[05.02.2025, 01:26:22] Айман: Интересных мужчин
[05.02.2025, 01:26:27] Айман: И событий
[05.02.2025, 01:26:52] Айман: Чето все мы погрузились в какую то рутину
[05.02.2025, 01:27:05] Айман: Или только у меня такие ощущения
[05.02.2025, 01:28:29] Алуа Боевик❤️: 😂
[05.02.2025, 01:28:37] Алуа Боевик❤️: Да много движа стало
[05.02.2025, 01:28:41] Алуа Боевик❤️: Но это тоже хорошо
[05.02.2025, 01:28:46] Алуа Боевик❤️: Полезный движ
[05.02.2025, 21:12:47] Асем ❤️🤗: Кыздар что делаете ?
[05.02.2025, 21:12:59] Асем ❤️🤗: @77761995090 кино не болды?
[05.02.2025, 21:13:19] Алуа Боевик❤️: бля еще бы написали в 12 ночи
[05.02.2025, 21:13:28] Асем ❤️🤗: Барамызба кинога?
[05.02.2025, 21:13:36] Алуа Боевик❤️: хз
[05.02.2025, 21:13:36] Асем ❤️🤗: Ну время еще 9
[05.02.2025, 21:13:48] Алуа Боевик❤️: мне уже лень
[05.02.2025, 21:13:52] Алуа Боевик❤️: купаться надо
[05.02.2025, 21:14:03] Асем ❤️🤗: 🤦🏼‍♀️ ладно
‎[05.02.2025, 21:14:07] Алуа Боевик❤️: ‎audio omitted
‎[05.02.2025, 21:14:24] Алуа Боевик❤️: ‎audio omitted
‎[05.02.2025, 21:15:13] Алуа Боевик❤️: ‎audio omitted
[05.02.2025, 21:18:31] Асем ❤️🤗: Мен жумыстан только вышла
[06.02.2025, 23:02:06] Асем ❤️🤗: @77761995090 жан мен енди уйге келдим
[06.02.2025, 23:02:17] Асем ❤️🤗: Ернип отырмын шыгуга
[06.02.2025, 23:08:02] Алуа Боевик❤️: Две
[06.02.2025, 23:08:04] Алуа Боевик❤️: Шык
[06.02.2025, 23:08:06] Алуа Боевик❤️: 😂
[06.02.2025, 23:09:01] Айман: Бля я у брата дома
[06.02.2025, 23:09:12] Айман: Далада боран согып тур гой
[06.02.2025, 23:09:16] Айман: 😆🌪️
‎[06.02.2025, 23:14:30] Алуа Боевик❤️: ‎audio omitted
[07.02.2025, 18:13:17] Асем ❤️🤗: ‎Missed video call  ‎Click to call back
[07.02.2025, 18:48:42] Акнур: ‎Video call  ‎4 min
[07.02.2025, 18:49:02] Айман: Асема
[07.02.2025, 18:49:08] Айман: Ты че бросила
[07.02.2025, 18:59:28] Жазира❤️😍🤰: Ча там
‎[07.02.2025, 18:59:39] Акнур: ‎audio omitted
[07.02.2025, 18:59:49] Акнур: На Колени на колени деп
[07.02.2025, 18:59:51] Акнур: Айкайлап жатсам
[07.02.2025, 18:59:52] Акнур: Блеять
[07.02.2025, 18:59:54] Акнур: Рядом чел
[07.02.2025, 18:59:55] Акнур: Услышал
[07.02.2025, 19:00:37] Асем ❤️🤗: 🤣🤣🤣
[07.02.2025, 19:00:53] Асем ❤️🤗: Отыр демединба 😂
[07.02.2025, 19:02:48] Алуа Боевик❤️: Бля люди
[07.02.2025, 19:02:55] Алуа Боевик❤️: Мы вчера как твари
[07.02.2025, 19:02:58] Алуа Боевик❤️: Бухали
[07.02.2025, 19:03:00] Алуа Боевик❤️: Сука
[07.02.2025, 19:03:03] Алуа Боевик❤️: Водканы
‎[07.02.2025, 19:04:23] Асем ❤️🤗: ‎sticker omitted
[07.02.2025, 19:05:12] Жазира❤️😍🤰: Завтра выходной
[07.02.2025, 19:05:14] Жазира❤️😍🤰: У меня
[07.02.2025, 19:05:19] Жазира❤️😍🤰: Выйдем куда нибудь?
[07.02.2025, 19:05:42] Алуа Боевик❤️: Бля я точно нет
[08.02.2025, 17:38:41] Айман: Ерната
[08.02.2025, 17:38:42] Айман: Помните
[08.02.2025, 17:38:43] Айман: 😂
[08.02.2025, 17:38:49] Алуа Боевик❤️: Юля
[08.02.2025, 17:38:50] Алуа Боевик❤️: Какой
[08.02.2025, 17:38:52] Айман: 😂😂😂
[08.02.2025, 17:38:56] Алуа Боевик❤️: Ты его не можешь знать же
[08.02.2025, 17:38:57] Айман: С кем вы кайфовали
[08.02.2025, 17:38:59] Алуа Боевик❤️: Которому 42?
[08.02.2025, 17:39:02] Айман: Познакомились
[08.02.2025, 17:39:04] Айман: Жазира
[08.02.2025, 17:39:05] Алуа Боевик❤️: Бля
[08.02.2025, 17:39:07] Айман: Рядом же
[08.02.2025, 17:39:08] Алуа Боевик❤️: 🤣🤣🤣🤣🤣🤣🤣🤣
[08.02.2025, 17:39:11] Алуа Боевик❤️: Сука
[08.02.2025, 17:39:18] Алуа Боевик❤️: Он что на рейве
[08.02.2025, 17:39:19] Алуа Боевик❤️: 🤣
[08.02.2025, 17:39:25] Айман: Он теперь главный айтишник
[08.02.2025, 17:39:27] Айман: В Самруке
[08.02.2025, 17:39:31] Айман: Дружите 😆😆
[08.02.2025, 17:39:36] Алуа Боевик❤️: Он вроде и так был
[08.02.2025, 17:39:41] Акнур: ты его знаешь Айман?
[08.02.2025, 17:39:45] Алуа Боевик❤️: Да с ним дружить толку никаког
[08.02.2025, 17:39:46] Алуа Боевик❤️: О
[08.02.2025, 17:39:55] Алуа Боевик❤️: Он тот еще жлоб
[08.02.2025, 17:40:02] Алуа Боевик❤️: Бестолковый 😂
[08.02.2025, 17:40:27] Айман: 😂😂😆
[08.02.2025, 17:40:35] Айман: Пришел познакомиться
[08.02.2025, 17:40:40] Айман: Мы же в Tangiers сидим
[08.02.2025, 17:40:41] Алуа Боевик❤️: На рейв?
[08.02.2025, 17:40:43] Алуа Боевик❤️: 🤣
[08.02.2025, 17:40:43] Айман: Пафосная кальянка
[08.02.2025, 17:40:47] Алуа Боевик❤️: Ааа
[08.02.2025, 17:40:48] Айман: Кайдагы рейв 😆😆
[08.02.2025, 17:40:57] Алуа Боевик❤️: Думала на этом кофе
[08.02.2025, 17:41:02] Айман: Здесь охуенная музыка хаус
[08.02.2025, 17:41:03] Айман: Мелодик
[08.02.2025, 17:41:06] Айман: Пиздец
[08.02.2025, 17:41:13] Айман: И контингент охуевший
[08.02.2025, 17:41:15] Айман: Всегда
[08.02.2025, 17:41:17] Алуа Боевик❤️: Жан да?
[08.02.2025, 17:41:18] Айман: Нужро сюда приходить
[08.02.2025, 17:41:21] Айман: Да
[08.02.2025, 17:41:23] Алуа Боевик❤️: Очень интересно
[08.02.2025, 17:41:26] Алуа Боевик❤️: Келемин
[08.02.2025, 17:41:31] Айман: Кел
[08.02.2025, 17:41:33] Алуа Боевик❤️: Я тут маминой машиной
[08.02.2025, 17:41:35] Алуа Боевик❤️: Решаю дела
[08.02.2025, 17:41:39] Алуа Боевик❤️: Не могу выйти
[08.02.2025, 17:41:45] Айман: Когда выйдешь
[08.02.2025, 17:41:49] Айман: Атмосфера здесь классная
[08.02.2025, 17:41:53] Айман: И контингент классный
[08.02.2025, 17:41:55] Айман: Всегда
[08.02.2025, 17:42:06] Айман: Прям понравилось мне тут
[08.02.2025, 17:42:10] Айман: Я тогда вечером приходила
[08.02.2025, 17:42:13] Айман: Одни мужчины сидели
[08.02.2025, 17:42:16] Айман: Баб не было почти
[08.02.2025, 17:42:19] Айман: Кто шарит тот приходит
[08.02.2025, 17:42:20] Айман: 😂😆
[08.02.2025, 17:42:45] Алуа Боевик❤️: Жан кайф
[08.02.2025, 17:42:47] Алуа Боевик❤️: Круто
[08.02.2025, 17:42:58] Алуа Боевик❤️: 🤣
[08.02.2025, 17:43:06] Алуа Боевик❤️: И такая Алуа сидит
[08.02.2025, 17:43:10] Алуа Боевик❤️: Каждый день
[08.02.2025, 17:43:12] Алуа Боевик❤️: Караулит
[08.02.2025, 17:43:14] Алуа Боевик❤️: Мужиков
[08.02.2025, 17:43:17] Алуа Боевик❤️: 🤣🤣🤣🤣🤣🤣🤣🤣🤣
[08.02.2025, 17:43:26] Алуа Боевик❤️: Там на самом деле я могу работать и читать книги
[08.02.2025, 17:43:26] Айман: Жан в прошлый раз я с одноклассником пришла столько красивых классных парней видела охуела
[08.02.2025, 17:43:28] Алуа Боевик❤️: Удобно
[08.02.2025, 17:43:30] Айман: Думала нахуя пришла с мужиком
[08.02.2025, 17:43:31] Айман: Сука
[08.02.2025, 17:43:39] Алуа Боевик❤️: Ну
[08.02.2025, 17:43:50] Айман: Да тут работать можно и стдеть
[08.02.2025, 17:43:52] Айман: Кайф по идее
[08.02.2025, 17:43:54] Айман: Музыка прям
[08.02.2025, 17:43:57] Айман: Оргазм
[08.02.2025, 17:43:58] Жазира❤️😍🤰: Мы тут
[08.02.2025, 17:44:04] Жазира❤️😍🤰: С ернат
[08.02.2025, 17:44:59] Алуа Боевик❤️: Жан супер
[08.02.2025, 17:45:07] Алуа Боевик❤️: Я поняла уже
[08.02.2025, 17:45:09] Алуа Боевик❤️: 🤣
[08.02.2025, 17:45:21] Асем ❤️🤗: @77761995090  алдында аткан жергой 
Дж она кыз ойнады
‎[08.02.2025, 17:45:52] Асем ❤️🤗: ‎audio omitted
[08.02.2025, 17:46:46] Жазира❤️😍🤰: Айман
[08.02.2025, 17:46:52] Жазира❤️😍🤰: Кое
[08.02.2025, 17:47:19] Асем ❤️🤗: Не болып жатыр😂
[08.02.2025, 17:47:20] Айман: Че
[08.02.2025, 17:47:23] Айман: Жазира
[08.02.2025, 17:47:25] Айман: 😆
[08.02.2025, 17:47:38] Айман: Я посижу
[08.02.2025, 17:47:42] Айман: Тут еще
[08.02.2025, 18:35:39] Айман: Нихуевая музыка началась
[08.02.2025, 18:35:48] Айман: @77761995090 кел
‎[08.02.2025, 18:36:26] Алуа Боевик❤️: ‎audio omitted
[08.02.2025, 18:40:46] Асем ❤️🤗: На видео сними
[08.02.2025, 18:40:53] Алуа Боевик❤️: Да
[08.02.2025, 18:40:55] Алуа Боевик❤️: Ждемс
‎[08.02.2025, 18:41:01] Алуа Боевик❤️: ‎audio omitted
[08.02.2025, 18:45:09] Асем ❤️🤗: Бля бир видео тусуру киынба
[08.02.2025, 18:49:31] Айман: Кандай видео жан
[08.02.2025, 18:51:07] Асем ❤️🤗: 🤦🏼‍♀️ сол заведенияны музыкасын
[08.02.2025, 18:51:50] Алуа Боевик❤️: Люди
[08.02.2025, 18:51:51] Асем ❤️🤗: Жан сен последний время 🦒 болып журсин
[08.02.2025, 18:51:53] Алуа Боевик❤️: Внимательно
[08.02.2025, 18:52:32] Айман: Я не думаю что слышно будет
[08.02.2025, 18:53:00] Алуа Боевик❤️: Думать не надо
[08.02.2025, 18:53:02] Алуа Боевик❤️: Делать надо
[08.02.2025, 18:54:16] Айман: Запишу
[08.02.2025, 18:54:25] Айман: Моя телка ушла
[08.02.2025, 18:54:30] Айман: В соседний столик
[08.02.2025, 18:54:33] Айман: Страдаю
[08.02.2025, 18:54:34] Айман: 😆
[08.02.2025, 18:55:51] Айман: Нихуя не слышно
[08.02.2025, 18:55:58] Айман: Но щас не прям так уже
[08.02.2025, 18:56:00] Айман: Тихо
‎[08.02.2025, 18:56:00] Айман: ‎video omitted
[08.02.2025, 18:56:28] Айман: Еще позже музыка достаточно громко что можно на шазам записать
[08.02.2025, 18:56:44] Айман: Нихуевое место
[08.02.2025, 18:56:51] Айман: Вечером надо тут сидеть
[08.02.2025, 18:58:02] Алуа Боевик❤️: Кайф
[08.02.2025, 18:58:07] Алуа Боевик❤️: Напиши название
[08.02.2025, 18:58:11] Алуа Боевик❤️: Я забыла уже ахаххаха
[08.02.2025, 18:58:13] Айман: Tangiers
[08.02.2025, 18:58:26] Айман: К 10 надо приходить
[08.02.2025, 18:58:31] Айман: И контингент хороший
‎[08.02.2025, 18:59:32] Алуа Боевик❤️: ‎audio omitted
[08.02.2025, 19:08:06] Асем ❤️🤗: Вы до 10 будете сидеть?
[08.02.2025, 19:12:02] Айман: Я до 8.30 может раньше даже
‎[08.02.2025, 19:32:14] Айман: ‎video note omitted
[08.02.2025, 19:33:25] Алуа Боевик❤️: Кайф
‎[08.02.2025, 19:33:31] Айман: ‎image omitted
[08.02.2025, 19:33:37] Айман: Вы все сами подписаны
[08.02.2025, 19:33:39] Айман: Здесь
[08.02.2025, 19:33:43] Алуа Боевик❤️: Ахахаххахаа
[09.02.2025, 11:47:20] Жазира❤️😍🤰: Официанты молодцы 🤣
[09.02.2025, 11:47:35] Жазира❤️😍🤰: Сол ушин 5 звезд
[09.02.2025, 23:58:47] Алуа Боевик❤️: Кыздар
[09.02.2025, 23:58:49] Алуа Боевик❤️: Срочно
‎[09.02.2025, 23:58:51] Алуа Боевик❤️: ‎video omitted
[09.02.2025, 23:58:53] Алуа Боевик❤️: Музыка подходит сюда
[09.02.2025, 23:58:56] Алуа Боевик❤️: Включите плиз
[10.02.2025, 00:00:01] Алуа Боевик❤️: Или эта удящие
‎[10.02.2025, 00:00:02] Алуа Боевик❤️: ‎video omitted
[10.02.2025, 00:00:03] Алуа Боевик❤️: Лучше
[10.02.2025, 00:01:56] Алуа Боевик❤️: Вы где все
[10.02.2025, 00:04:10] Асем ❤️🤗: Нау
[10.02.2025, 00:05:16] Алуа Боевик❤️: Точно
[10.02.2025, 00:05:18] Алуа Боевик❤️: ?
‎[10.02.2025, 00:06:25] Алуа Боевик❤️: ‎audio omitted
[10.02.2025, 00:08:15] Асем ❤️🤗: Тоже жаксы
[10.02.2025, 00:09:50] Айман: Бля тревис лучше
[10.02.2025, 00:09:51] Айман: Будто
[17.02.2025, 19:36:26] Асем ❤️🤗: ‎Missed video call  ‎Click to call back
[17.02.2025, 19:40:14] Айман: Калайсындар
‎[18.02.2025, 20:59:40] Айман: ‎image omitted
[18.02.2025, 20:59:42] Айман: Офигенно удобные
[18.02.2025, 20:59:45] Айман: В заре продаются
[18.02.2025, 20:59:52] Айман: Внутри подклад такой мягкий
[18.02.2025, 21:00:01] Айман: Впервые зара норм обувь делает кажется🤣
[18.02.2025, 21:01:45] Асем ❤️🤗: Адеми екен 😍
[18.02.2025, 21:02:07] Асем ❤️🤗: Жан кстати сагат кайда?
[18.02.2025, 21:02:11] Асем ❤️🤗: Корсетси
[18.02.2025, 21:03:45] Айман: В марте подарит🤣 ‎<This message was edited>
[18.02.2025, 21:09:44] Асем ❤️🤗: Корадан осы айда босата тур дедима 😂
[18.02.2025, 21:10:48] Айман: Да 😆😆
[18.02.2025, 21:10:57] Айман: Не хочу говорит в кредит брать
[18.02.2025, 21:17:14] Айман: Стресс болып жатыр
[18.02.2025, 21:17:21] Айман: 🤣
[18.02.2025, 21:48:52] Алуа Боевик❤️: Оооо
[18.02.2025, 21:53:47] Айман: Посмотри
[18.02.2025, 22:13:20] Алуа Боевик❤️: Ока
[18.02.2025, 22:13:20] Алуа Боевик❤️: Й
‎[19.02.2025, 21:14:26] Айман: ‎image omitted
[19.02.2025, 21:14:28] Айман: @77761995090 и
[19.02.2025, 21:14:34] Айман: Ты же хотела такие
[19.02.2025, 21:43:03] Алуа Боевик❤️: Да
[19.02.2025, 21:43:05] Алуа Боевик❤️: Где они
[19.02.2025, 21:45:31] Айман: Зара
‎[20.02.2025, 01:02:12] Алуа Боевик❤️: ‎image omitted
[20.02.2025, 01:02:16] Алуа Боевик❤️: А его друзья с казвтопмром
[20.02.2025, 01:02:23] Алуа Боевик❤️: Короче зовут в караоке
[20.02.2025, 01:02:28] Алуа Боевик❤️: В субботу 
Книттельфельд
‎[20.02.2025, 01:02:57] Алуа Боевик❤️: ‎audio omitted
[20.02.2025, 01:10:59] Айман: Вот тот которого ты присылала?
[20.02.2025, 01:11:10] Айман: Карамельных снов 😅😅😅😅😅😁🤣🤣🤣🤣🤣🤣🤣ватттт
[20.02.2025, 01:11:42] Жазира❤️😍🤰: 🤣
[20.02.2025, 01:11:57] Алуа Боевик❤️: Да ахаххахах
‎[20.02.2025, 01:11:59] Жазира❤️😍🤰: ‎audio omitted
[20.02.2025, 01:12:00] Алуа Боевик❤️: Он классный оказался
[20.02.2025, 01:12:03] Алуа Боевик❤️: Но простоват
[20.02.2025, 01:12:07] Алуа Боевик❤️: Добрый хороший
[20.02.2025, 01:12:13] Алуа Боевик❤️: Ахаххахахах
[20.02.2025, 01:12:21] Алуа Боевик❤️: 😂😂😂😂😂🫂
[20.02.2025, 01:12:30] Алуа Боевик❤️: Барасындар ма
[20.02.2025, 01:12:42] Алуа Боевик❤️: Не осталяйте меня одну с ними 😂
[20.02.2025, 01:12:50] Жазира❤️😍🤰: В субботу
[20.02.2025, 01:12:55] Алуа Боевик❤️: Ага
[20.02.2025, 01:13:00] Алуа Боевик❤️: Можно в пятницу если что
‎[20.02.2025, 01:13:12] Жазира❤️😍🤰: ‎audio omitted
[20.02.2025, 01:13:26] Алуа Боевик❤️: Да в субботу без надрыва
‎[20.02.2025, 01:13:37] Алуа Боевик❤️: ‎audio omitted
‎[20.02.2025, 01:14:07] Жазира❤️😍🤰: ‎audio omitted
[20.02.2025, 01:14:42] Асем ❤️🤗: Сен прям трениворкага кирп кеттингой да
[20.02.2025, 01:15:48] Айман: Олип тренируется там, до потери пульса ‎<This message was edited>
[20.02.2025, 01:15:57] Айман: Потом говорит а че я так много сплю деп
[20.02.2025, 01:16:02] Айман: 😆
‎[20.02.2025, 01:16:35] Жазира❤️😍🤰: ‎audio omitted
[20.02.2025, 01:16:45] Алуа Боевик❤️: Жан 1.5 месяца
[20.02.2025, 01:16:46] Алуа Боевик❤️: Уже
[20.02.2025, 01:16:48] Алуа Боевик❤️: 😂
[20.02.2025, 01:17:01] Алуа Боевик❤️: 19 занятие было сегодня 
Я прям считаю
[20.02.2025, 01:17:06] Алуа Боевик❤️: Да решила каждый день
‎[20.02.2025, 01:17:19] Жазира❤️😍🤰: ‎audio omitted
[20.02.2025, 01:17:22] Алуа Боевик❤️: Йога между будет 
Бля моя йога сегодня она прям оч тяжелая
[20.02.2025, 01:17:24] Алуа Боевик❤️: Люди
[20.02.2025, 01:17:26] Алуа Боевик❤️: Я ахуела
[20.02.2025, 01:17:30] Алуа Боевик❤️: Даже мне было сложно
[20.02.2025, 01:17:58] Айман: Йога это не легко
‎[20.02.2025, 01:18:13] Алуа Боевик❤️: ‎audio omitted
‎[20.02.2025, 01:18:20] Жазира❤️😍🤰: ‎audio omitted
[20.02.2025, 01:18:25] Алуа Боевик❤️: У нас тренер Сауле, просто бляеть убила нас
[20.02.2025, 01:18:30] Алуа Боевик❤️: Все дрожали и потели
‎[20.02.2025, 01:19:07] Алуа Боевик❤️: ‎audio omitted
[20.02.2025, 01:19:09] Айман: Просто йога типа разная бывает
[20.02.2025, 01:19:13] Айман: Бывает легкая
[20.02.2025, 01:19:17] Айман: Бывает сложная
[20.02.2025, 01:19:22] Алуа Боевик❤️: Ноги сводит и плечи
[20.02.2025, 01:19:25] Алуа Боевик❤️: Сильно
[20.02.2025, 01:19:29] Алуа Боевик❤️: Нет
[20.02.2025, 01:19:31] Айман: Тебе надо на массаж
[20.02.2025, 01:19:32] Алуа Боевик❤️: Это она решила так
[20.02.2025, 01:19:34] Алуа Боевик❤️: Провести
[20.02.2025, 01:19:43] Алуа Боевик❤️: Думаю она была легче
‎[20.02.2025, 01:19:59] Алуа Боевик❤️: ‎audio omitted
[20.02.2025, 01:20:10] Алуа Боевик❤️: Да схожу
[20.02.2025, 01:20:21] Айман: Ну вот я ходила в йога центр у них более 20 разновидных йог с разной интенсивностью
[20.02.2025, 01:20:24] Алуа Боевик❤️: Йогада кстати много вещей, где тоже убирает спазмы
[20.02.2025, 01:20:28] Алуа Боевик❤️: На шее и тд
[20.02.2025, 01:20:42] Алуа Боевик❤️: Мне невыгодно платить еще куда то😂
[20.02.2025, 01:20:58] Алуа Боевик❤️: И я Рада, что Сауле тут ведет хорошо
‎[20.02.2025, 01:21:08] Алуа Боевик❤️: ‎audio omitted
[20.02.2025, 01:21:19] Алуа Боевик❤️: Ладно 
Кыздар 
На субботу
‎[20.02.2025, 13:43:33] Алуа Боевик❤️: ‎audio omitted
‎[20.02.2025, 13:43:33] Алуа Боевик❤️: ‎audio omitted
[20.02.2025, 13:43:42] Алуа Боевик❤️: @77784383828
[20.02.2025, 13:43:46] Алуа Боевик❤️: 😂
[20.02.2025, 13:47:11] Асем ❤️🤗: Прям красавчикпане 😂
[20.02.2025, 14:01:54] Алуа Боевик❤️: Ахахаххаха
[20.02.2025, 14:01:55] Алуа Боевик❤️: Да
[20.02.2025, 14:02:19] Алуа Боевик❤️: Они 90-92
[20.02.2025, 14:02:23] Алуа Боевик❤️: Вроде как
[20.02.2025, 14:03:38] Жазира❤️😍🤰: Оки
‎[20.02.2025, 14:04:25] Алуа Боевик❤️: ‎audio omitted
[20.02.2025, 14:47:39] Айман: Фото жиберсин да
[20.02.2025, 14:47:41] Айман: 😆
‎[21.02.2025, 07:52:56] Алуа Боевик❤️: ‎video omitted
‎[21.02.2025, 14:44:56] Айман: ‎image omitted
‎[21.02.2025, 15:07:20] Алуа Боевик❤️: ‎audio omitted
[21.02.2025, 15:24:12] Алуа Боевик❤️: Бро перекинь сам контакт
[21.02.2025, 15:24:39] Айман: https://t.me/poehalisnami_nursultan/54645
[21.02.2025, 18:56:25] Айман: Классные
‎[21.02.2025, 18:56:27] Айман: ‎image omitted
[21.02.2025, 19:59:33] Алуа Боевик❤️: Жан
[21.02.2025, 19:59:34] Алуа Боевик❤️: Где это
[21.02.2025, 19:59:38] Алуа Боевик❤️: Тоже Зара
[21.02.2025, 20:00:56] Айман: Да
[21.02.2025, 20:00:57] Айман: Нихуевые
[21.02.2025, 20:03:24] Алуа Боевик❤️: Юля да
[21.02.2025, 20:03:27] Алуа Боевик❤️: Надо зайти завтра
‎[21.02.2025, 20:03:41] Алуа Боевик❤️: ‎audio omitted
[21.02.2025, 21:54:00] Алуа Боевик❤️: Люди
[21.02.2025, 21:54:06] Алуа Боевик❤️: Хотите завтра в китайку
‎[21.02.2025, 21:57:41] Айман: ‎audio omitted
[21.02.2025, 21:59:05] Алуа Боевик❤️: И завтра кто идет со мной в караоке
[21.02.2025, 21:59:17] Алуа Боевик❤️: К 10 ночи
[21.02.2025, 22:00:50] Алуа Боевик❤️: ?
[21.02.2025, 22:00:57] Алуа Боевик❤️: Вам что каждой отдельно писать надо
[21.02.2025, 22:01:06] Алуа Боевик❤️: Пишите точно кто сможет
[21.02.2025, 22:02:59] Асем ❤️🤗: Жан я завтра уезжаю в Караганду
[21.02.2025, 22:03:16] Асем ❤️🤗: Ночью келем 
Улгерсем может келем
[21.02.2025, 22:07:25] Алуа Боевик❤️: Ааааа
[21.02.2025, 22:07:27] Алуа Боевик❤️: К кому
[21.02.2025, 22:07:30] Алуа Боевик❤️: Тима что ли
[21.02.2025, 22:08:12] Асем ❤️🤗: Нет 
Дядя умер
Соган конил айтуга
‎[21.02.2025, 22:09:35] Жазира❤️😍🤰: ‎audio omitted
‎[21.02.2025, 22:09:45] Жазира❤️😍🤰: ‎audio omitted
[21.02.2025, 22:10:35] Асем ❤️🤗: Сенде тамакпа?
[21.02.2025, 22:10:49] Асем ❤️🤗: Леголямен сурт жаксылап
[21.02.2025, 22:11:14] Алуа Боевик❤️: Иманды болсын
[21.02.2025, 22:11:26] Асем ❤️🤗: Амин
[21.02.2025, 22:11:32] Алуа Боевик❤️: Жан ты до сих пор болеешь
‎[21.02.2025, 22:11:33] Жазира❤️😍🤰: ‎audio omitted
[21.02.2025, 22:11:37] Алуа Боевик❤️: С тех пор еще
[21.02.2025, 22:11:52] Жазира❤️😍🤰: Да
[21.02.2025, 22:11:56] Алуа Боевик❤️: Давай 
Буду молиться за тебя
[21.02.2025, 22:12:02] Алуа Боевик❤️: Ангал кушти
‎[21.02.2025, 22:12:14] Алуа Боевик❤️: ‎audio omitted
[21.02.2025, 22:45:20] Жазира❤️😍🤰: Акнур
[21.02.2025, 22:45:25] Жазира❤️😍🤰: Шыгасын ба
[21.02.2025, 22:45:29] Жазира❤️😍🤰: Ертен
‎[21.02.2025, 23:04:32] Акнур: ‎audio omitted
[21.02.2025, 23:14:33] Жазира❤️😍🤰: Ертен дим
[21.02.2025, 23:15:52] Акнур: Дааа
[22.02.2025, 11:22:34] Алуа Боевик❤️: Каринанигай
