[22.10.2024, 22:40:16] Аселек💕: ‎Your security code with Аселек💕 changed.
[05.07.2025, 14:45:00] Аселек💕: Эмир двоюродный брат Дияра
[05.07.2025, 14:45:06] Аселек💕: Соска будешь
[05.07.2025, 14:45:08] Акнур: Они казахи вообще?
[05.07.2025, 14:45:12] Аселек💕: Да
[05.07.2025, 14:45:17] Акнур: эмир
[05.07.2025, 14:45:17] Акнур: Типа
[05.07.2025, 14:45:26] Аселек💕: Эмир керей 
Дияр уак
[05.07.2025, 14:45:32] Акнур: Я керейт
[05.07.2025, 14:45:38] Аселек💕: Диярдын папасынын аты Рафаэль 🤣
[05.07.2025, 14:45:42] Акнур: кахаххахаха
[05.07.2025, 14:45:45] Акнур: Точно казахи?
[05.07.2025, 14:45:46] Акнур: Ебать
[05.07.2025, 14:45:50] Акнур: Или шоколады?
[05.07.2025, 14:45:55] Акнур: Рафаэлло
[05.07.2025, 14:45:56] Аселек💕: а Ербол он по папиной или маминой линии брат Нурболу?
[05.07.2025, 14:46:00] Аселек💕: Аха
[05.07.2025, 14:46:01] Акнур: Папиной
[05.07.2025, 14:46:08] Аселек💕: В честь какого-то чувака назвали
[05.07.2025, 14:46:11] Акнур: Родаки в разводе
[05.07.2025, 14:46:11] Аселек💕: Писатель ма сондай
[05.07.2025, 14:46:30] Аселек💕: У Эмира и Дияра прост мамалары сёстра
‎[05.07.2025, 14:46:41] Акнур: ‎<attached: -0000359-AUDIO-2025-07-05-14-46-41.opus>
[05.07.2025, 14:46:55] Аселек💕: бар давай
[05.07.2025, 14:46:58] Аселек💕: не опаздывай
[05.07.2025, 14:47:08] Аселек💕: ты там много не пей😂
[06.07.2025, 14:51:36] Акнур: Че ты где
[06.07.2025, 14:52:17] Аселек💕: у родственников
[06.07.2025, 14:52:18] Аселек💕: а ты?
[06.07.2025, 14:56:21] Акнур: Домой пришла
[06.07.2025, 14:56:23] Акнур: К Ербол
[06.07.2025, 14:56:26] Акнур: Он ушел на келин шай
[06.07.2025, 15:32:46] Аселек💕: Ааа
[06.07.2025, 17:20:46] Аселек💕: Кандай план?
[06.07.2025, 18:18:55] Акнур: Open air
[06.07.2025, 18:18:57] Акнур: Будет сегодня
[06.07.2025, 18:21:29] Аселек💕: ой там млн адам
[06.07.2025, 18:34:11] Акнур: Думаем
[06.07.2025, 18:34:12] Акнур: Тогда
[06.07.2025, 18:34:16] Акнур: Ты че не план сенде?
[06.07.2025, 18:36:57] Аселек💕: Я пойду теннис играть сосын свободна буду думаю
[06.07.2025, 18:37:19] Акнур: Он на келин шай Али
[06.07.2025, 18:37:20] Аселек💕: хочу в ну шоты потом 😆 или воще никуда
[06.07.2025, 18:37:25] Акнур: Хз что будем делать
[06.07.2025, 18:37:27] Акнур: Сегодня
[06.07.2025, 18:37:30] Аселек💕: Не деген долгий келин шай
[06.07.2025, 18:37:33] Аселек💕: спишемся если шо
[06.07.2025, 18:37:44] Акнур: блеа айтпащ он там с 13:3
[06.07.2025, 18:37:46] Акнур: Сука
[06.07.2025, 18:37:47] Аселек💕: адеми достарын алып келиндер
[06.07.2025, 18:37:48] Акнур: Ок ок
[06.07.2025, 18:37:54] Акнур: Ок ок😂
[06.07.2025, 18:37:59] Аселек💕: ну или просто хороших
[06.07.2025, 18:38:01] Аселек💕: 😆😆😆
[06.07.2025, 18:38:07] Аселек💕: золотистый ретриверлер секилди
[06.07.2025, 18:38:13] Аселек💕: и я с опухшими глазами
[06.07.2025, 18:38:16] Акнур: Вэахаххахахаз
[06.07.2025, 18:38:19] Акнур: Что за фраза ебать
[06.07.2025, 18:38:20] Акнур: Хахахахха
[06.07.2025, 18:38:20] Аселек💕: черная кошка сиякты отырам
[06.07.2025, 18:38:26] Аселек💕: Ты шо не знаешь?
[06.07.2025, 18:38:29] Акнур: нет
[06.07.2025, 18:38:33] Аселек💕: есть парни золотистые ретриверы
[06.07.2025, 18:38:39] Аселек💕: хорошки
[06.07.2025, 18:38:45] Аселек💕: и есть женщины черные кошки
[06.07.2025, 18:38:54] Аселек💕: Калай билмейсин😆
[06.07.2025, 18:38:59] Аселек💕: Это тебе не лабубу
[06.07.2025, 18:39:06] Акнур: Ухахаххахахаха
[06.07.2025, 18:39:13] Акнур: Бляяя лабубу кашан болады екен менде
[06.07.2025, 18:39:14] Акнур: Хз
[06.07.2025, 18:39:17] Акнур: Когда тренд уже закончится
[06.07.2025, 20:03:33] Акнур: Аселек
[06.07.2025, 20:03:34] Акнур: Я не поняла
[06.07.2025, 20:03:37] Акнур: Сегодня же праздник
[06.07.2025, 20:03:40] Акнур: Типа завтра отдыхают?
[06.07.2025, 20:03:44] Акнур: Все да?
[06.07.2025, 20:25:37] Аселек💕: Да ахахаха
[06.07.2025, 20:25:44] Аселек💕: Но перенос на 7е
[06.07.2025, 20:28:38] Акнур: Короче
[06.07.2025, 20:28:40] Акнур: Мы выйдем
[06.07.2025, 20:28:43] Акнур: Ща к 9
[06.07.2025, 20:28:47] Акнур: Просто в город
[06.07.2025, 20:28:50] Акнур: И напишу если что
[06.07.2025, 20:28:51] Акнур: Где будем
[06.07.2025, 20:31:40] Аселек💕: Окиии
[06.07.2025, 20:31:45] Аселек💕: у меня с 9 до 10 теннис
[06.07.2025, 20:31:51] Аселек💕: сосын мб с другом приду
[06.07.2025, 20:31:53] Аселек💕: норм?
[06.07.2025, 20:31:54] Аселек💕: или одна
[06.07.2025, 20:32:08] Аселек💕: В городе деп калай кетты ауылда тургандай😆
[06.07.2025, 20:55:45] Акнур: Нет конечно
[06.07.2025, 20:55:45] Акнур: Кел
[06.07.2025, 20:55:49] Акнур: Хааххаххаа
[06.07.2025, 21:10:13] Акнур: Озин кор
[06.07.2025, 21:10:45] Акнур: Без разницы по идее
‎[06.07.2025, 22:02:16] Акнур: ‎audio omitted
[06.07.2025, 22:02:22] Акнур: Где встретимся
[06.07.2025, 22:05:58] Аселек💕: че там?
[06.07.2025, 22:08:00] Акнур: Че где
[06.07.2025, 22:08:05] Акнур: Мы в городе
[06.07.2025, 22:12:51] Акнур: Че где увидимся
[06.07.2025, 22:16:36] Аселек💕: я думаю ахахах
[06.07.2025, 22:16:58] Акнур: ‎Voice call  ‎57 sec
[06.07.2025, 22:18:18] Аселек💕: свидание болып журмндер
[06.07.2025, 22:18:21] Аселек💕: еще увидимся если шо
[06.07.2025, 22:35:44] Акнур: Мы в уйде
[06.07.2025, 22:35:44] Акнур: Идеи
[06.07.2025, 22:35:46] Акнур: Идем
[06.07.2025, 22:35:48] Акнур: Если что
[06.07.2025, 22:48:28] Аселек💕: о
[06.07.2025, 22:48:31] Аселек💕: жаксы
[06.07.2025, 22:48:34] Аселек💕: билетин болам
[11.07.2025, 17:45:34] Акнур: Аселек
[11.07.2025, 17:45:36] Акнур: Привет
[11.07.2025, 17:45:41] Акнур: Шыгасынба
[11.07.2025, 17:45:42] Акнур: Бунин
[11.07.2025, 17:45:45] Акнур: Или пас па
[11.07.2025, 17:45:47] Акнур: Мы с Кобой
[11.07.2025, 17:45:49] Акнур: Ербой*
[11.07.2025, 18:14:09] Аселек💕: привееет
ещё хз
может уеду 😆😆😆
[14.07.2025, 06:14:10] Акнур: Аселек
[14.07.2025, 06:14:12] Акнур: Срочно
[14.07.2025, 06:14:13] Акнур: Ты тут?
[14.07.2025, 07:06:20] Аселек💕: Ау
[14.07.2025, 07:06:24] Аселек💕: Нет не тут была
[14.07.2025, 07:06:27] Аселек💕: Енди просыпаюсь
[14.07.2025, 07:07:08] Акнур: Хома пришел ко мне
[14.07.2025, 07:07:08] Акнур: и говорит ты че встречаешься с парнем? С Ербол? Который Асема спала с ним?
[14.07.2025, 07:07:08] Акнур: Я говорю чтоооо?
[14.07.2025, 07:07:08] Акнур: Да такое было один раз Алуа мне рассказала говорит
[14.07.2025, 07:07:08] Акнур: и чтоб акнур не узнала говорит
[14.07.2025, 07:07:08] Акнур: Я что забхуйня
[14.07.2025, 07:07:08] Акнур: Она была очень тогда пьяная
[14.07.2025, 07:07:08] Акнур: Говорит
[14.07.2025, 07:07:08] Акнур: Жози
[14.07.2025, 07:07:08] Акнур: Что думаешь?
[14.07.2025, 07:07:08] Акнур: это не на нг?
[14.07.2025, 07:07:08] Акнур: Меня ж не было
[14.07.2025, 07:07:08] Акнур: Он только что мозги промыл
[14.07.2025, 07:07:08] Акнур: Да это он деп
[14.07.2025, 07:07:08] Акнур: С ним деп
[14.07.2025, 07:07:08] Акнур: Ты че с ним встречаешься деп
[14.07.2025, 07:07:08] Акнур: Теперь
[14.07.2025, 07:07:08] Акнур: У меня бзик
[14.07.2025, 07:07:08] Акнур: Точно Ербол Деп айтты ма десем
[14.07.2025, 07:07:08] Акнур: Да говорит
[14.07.2025, 07:07:08] Акнур: да не не такие они десем ну это было один раз говорит
[14.07.2025, 07:07:08] Акнур: Что думаешь и
[14.07.2025, 07:07:08] Акнур: Алуа такое
[14.07.2025, 07:07:08] Акнур: Зачем ему говорила
[14.07.2025, 07:07:08] Акнур: Акнурдын Ерболы деп
[14.07.2025, 07:07:08] Акнур: Айтты дейды
[14.07.2025, 07:07:08] Акнур: ты че с ним встречаешься говорит
[14.07.2025, 07:07:08] Акнур: Бляяя мне чутка даже стремно
[14.07.2025, 07:07:08] Акнур: Что я даже так думаю
[14.07.2025, 07:07:08] Акнур: Недавно в мае
[14.07.2025, 07:07:59] Акнур: Алуа это хоме рассказала в мае
[14.07.2025, 07:07:59] Акнур: Недавно
[14.07.2025, 07:07:59] Акнур: До Актау
[14.07.2025, 07:07:59] Акнур: Короче екеуинен де спрошу
[14.07.2025, 07:07:59] Акнур: Дурыстап адамша
[14.07.2025, 07:07:59] Акнур: Твоя интуиция что подсказывает?
[14.07.2025, 07:07:59] Акнур: Сен капец втюрилась мына балага абайла говорит он мне
[14.07.2025, 07:07:59] Акнур: ой бля чзх
[14.07.2025, 07:07:59] Акнур: Алуа тогда
[14.07.2025, 07:07:59] Акнур: Зачем Хоме
[14.07.2025, 07:07:59] Акнур: Так рассказала?
[14.07.2025, 07:07:59] Акнур: С ними была
[14.07.2025, 07:07:59] Акнур: На нг
[14.07.2025, 07:07:59] Акнур: В мае хома виделся с алуа он рассказал мне
[14.07.2025, 07:07:59] Акнур: Тогда
Хотел тебе рассказать но ко мне пришла Асема ты не брала трубку дейды
[14.07.2025, 07:09:29] Аселек💕: так стоп
[14.07.2025, 07:09:34] Аселек💕: Асем деген ким?
[14.07.2025, 07:09:38] Акнур: Моя подруга
[14.07.2025, 07:09:40] Аселек💕: Хома деген Ким?
[14.07.2025, 07:09:43] Акнур: Друг мой
[14.07.2025, 07:09:46] Акнур: Подъехал ночью
[14.07.2025, 07:09:53] Аселек💕: Вряд ли спал
[14.07.2025, 07:09:57] Аселек💕: мне так кажется
[14.07.2025, 07:10:07] Аселек💕: Хомага может не надо верить
[14.07.2025, 07:10:15] Аселек💕: Я не знаю всех твоих друзей
[14.07.2025, 07:10:18] Аселек💕: Но если было до тебя
[14.07.2025, 07:10:23] Аселек💕: То рубить сразу все не надо
[14.07.2025, 07:10:34] Аселек💕: Может рил пьяные были
[14.07.2025, 07:10:43] Аселек💕: Хомада биртурли
[14.07.2025, 07:11:15] Аселек💕: Ты не знаешь намерения Хомы
[14.07.2025, 07:11:17] Аселек💕: во первых
[14.07.2025, 07:11:26] Аселек💕: во вторых вы тогда не встречались с Ерболом
[14.07.2025, 07:11:36] Аселек💕: и он не знал, что будет с тобой встречаться дурыс па?
[14.07.2025, 07:11:48] Аселек💕: Асем была пьяна
Даже если это правда, что переспали
[14.07.2025, 07:11:56] Аселек💕: и ты хочешь из-за этого заруинить отношения?
[14.07.2025, 07:12:09] Аселек💕: Акнур жайдан жай на свадьбу где половина родственников
[14.07.2025, 07:12:16] Аселек💕: Звать не будут
[14.07.2025, 07:12:21] Аселек💕: Хома пошел нахуй негизи ше
[14.07.2025, 07:25:51] Аселек💕: спишь что ли?
[14.07.2025, 07:31:21] Аселек💕: Может тоже пьяная была
[14.07.2025, 07:36:51] Акнур: Ну да
[14.07.2025, 07:37:27] Акнур: Спросить у Асем?
[14.07.2025, 07:37:31] Акнур: У самой
[14.07.2025, 07:43:09] Аселек💕: Тебя это будет беспокоить?
[14.07.2025, 07:43:15] Аселек💕: Сен спокойно сурай аласын ба?
[14.07.2025, 07:43:36] Аселек💕: Я бы у Ербола спросила 
Былай болды ма деп
[14.07.2025, 07:43:42] Аселек💕: ты с ним отношение строишь ведь
[14.07.2025, 07:44:07] Аселек💕: зачем Алуа обсуждает тех кто с кем спит?
[14.07.2025, 07:44:13] Аселек💕: Подругаларын кызык екен
[14.07.2025, 07:44:28] Аселек💕: Асема подруга Алуа?
[14.07.2025, 08:29:31] Акнур: Да
[14.07.2025, 08:29:34] Акнур: Сурайм
[14.07.2025, 08:29:36] Акнур: Кездескенде
[14.07.2025, 08:29:43] Акнур: Брелок беретин кезде
[14.07.2025, 08:29:45] Акнур: Как раз
[14.07.2025, 08:30:03] Аселек💕: Вот
[14.07.2025, 08:30:14] Аселек💕: но честно это тупо обсуждать между подругами кто с кем спит
[14.07.2025, 08:30:26] Аселек💕: Солидарность кайда
Алуа могла и не говорить никому
[14.07.2025, 08:30:29] Акнур: Она нахуя ему напиздела не пойму
[14.07.2025, 08:30:31] Аселек💕: Еще и жигитке айтып
[14.07.2025, 08:30:37] Акнур: И если это правда
[14.07.2025, 08:30:38] Акнур: Что делать
[14.07.2025, 08:30:39] Акнур: Тогда
[14.07.2025, 08:30:43] Акнур: С асемой я дружу
[14.07.2025, 08:30:50] Аселек💕: А тебя почему это беспокоит?
[14.07.2025, 08:30:56] Акнур: Асема моя подруга
[14.07.2025, 08:30:59] Аселек💕: Это было да тебя?
[14.07.2025, 08:30:59] Акнур: И если они переспали
[14.07.2025, 08:31:01] Аселек💕: До*
[14.07.2025, 08:31:08] Аселек💕: По пьяне
[14.07.2025, 08:31:08] Акнур: Нет когда со мной общался
[14.07.2025, 08:31:10] Аселек💕: ПЬЯНЫЕ
[14.07.2025, 08:31:16] Аселек💕: ну не встречался же
[14.07.2025, 08:31:25] Аселек💕: встречались тогда?
[14.07.2025, 08:31:29] Аселек💕: 1 раз переспали же
[14.07.2025, 08:31:33] Акнур: Нет
[14.07.2025, 08:31:41] Аселек💕: Тогда не парься над этим
[14.07.2025, 08:31:44] Акнур: Это было тогда когда меня не было на нг хочу понять
[14.07.2025, 08:31:49] Акнур: Один раз я отошла
[14.07.2025, 08:31:56] Акнур: А так он ж всегда со мной
[14.07.2025, 08:32:34] Акнур: А как узнать? Спросить это вообще
[14.07.2025, 08:32:35] Акнур: Бляя
[14.07.2025, 08:32:40] Акнур: Теперь мне ж покоя не даст
[14.07.2025, 08:32:42] Акнур: Этот вопрос
[14.07.2025, 08:32:46] Аселек💕: Я вот так то так узнала
[14.07.2025, 08:32:51] Аселек💕: Что вы на нг переспали
[14.07.2025, 08:32:54] Аселек💕: Это правда деп
[14.07.2025, 08:33:10] Аселек💕: но логику понять не могу 
он может резко сказать что это было до отношений
[14.07.2025, 08:33:15] Аселек💕: и он по факту свободен был
[14.07.2025, 08:33:19] Акнур: А ниче что она моя подруга
[14.07.2025, 08:33:21] Акнур: Он знал
[14.07.2025, 08:33:25] Акнур: Я их ж знакомила
[14.07.2025, 08:33:48] Аселек💕: они пьяные были брат
[14.07.2025, 08:33:59] Аселек💕: не серьезно ведь
[14.07.2025, 08:34:24] Аселек💕: Меня больше беспокоит
[14.07.2025, 08:34:33] Аселек💕: Почему твои подруги зная что он тебе нравится
[14.07.2025, 08:34:44] Акнур: асема только подруга
[14.07.2025, 08:34:44] Акнур: Тут
[14.07.2025, 08:34:50] Акнур: Алуа не подруга
[14.07.2025, 08:34:51] Аселек💕: Алуа?
[14.07.2025, 08:34:57] Акнур: как пол года уже перестали
[14.07.2025, 08:35:06] Аселек💕: тогда она напиздеть могла
[14.07.2025, 08:35:09] Аселек💕: если вы поссорились
[14.07.2025, 08:35:24] Аселек💕: осеки чтоб пошли
[14.07.2025, 08:35:23] Акнур: Ну не охота думать что Асема так сделала
[14.07.2025, 08:35:27] Акнур: Как то даже стремно
[14.07.2025, 08:35:34] Аселек💕: если Асем переспала
[14.07.2025, 08:35:37] Аселек💕: и это было от нее
[14.07.2025, 08:35:40] Аселек💕: надо поговорить
[14.07.2025, 08:35:44] Аселек💕: и с Ерболом
[14.07.2025, 08:35:46] Аселек💕: И с ней
[14.07.2025, 16:00:12] Аселек💕: поговорила?
[15.07.2025, 12:27:54] Акнур: Нет
[15.07.2025, 12:27:56] Акнур: Я решила
[15.07.2025, 12:27:58] Акнур: Не трогать
[15.07.2025, 12:28:00] Акнур: Эту тему
[15.07.2025, 12:28:04] Акнур: Так как это было в декабре
[15.07.2025, 12:28:10] Акнур: Когда я сама встречалась с болта
[15.07.2025, 12:28:12] Акнур: Болат*
[15.07.2025, 12:36:58] Аселек💕: Вооот
[15.07.2025, 12:49:44] Аселек💕: но
[15.07.2025, 12:49:49] Аселек💕: подруганын жасаганы кате сиякты
[15.07.2025, 12:49:55] Аселек💕: она ж знала что он твой краш
[15.07.2025, 12:50:00] Акнур: Сол го
[15.07.2025, 12:50:04] Акнур: Я то с ней давно уже общаюсь
[15.07.2025, 12:50:09] Акнур: Передала вот так
[15.07.2025, 12:50:16] Аселек💕: ну тип это странно
[15.07.2025, 12:50:35] Аселек💕: тоже самое если я бы переспала с кем то из твоих бывших
[15.07.2025, 12:50:49] Аселек💕: еще и барине айтып
[15.07.2025, 12:50:59] Аселек💕: если бы было по пьяне
и я бы на след день не помнила
[15.07.2025, 12:51:06] Аселек💕: я бы не сказала или избегала тебя
[15.07.2025, 12:51:15] Аселек💕: мб у меня устаревшие признаки
[15.07.2025, 12:51:21] Аселек💕: но епта солидарность кайда
‎[17.07.2025, 13:02:12] Акнур: Протокол резидентуры.pdf • ‎31 pages ‎document omitted
[17.07.2025, 13:02:15] Акнур: Пиздос
[17.07.2025, 13:02:16] Акнур: Посмотри
[17.07.2025, 13:07:06] Аселек💕: Пздц
[17.07.2025, 13:07:08] Аселек💕: Астана 9
[26.07.2025, 21:47:40] Акнур: Шыгасынба
[26.07.2025, 21:47:41] Акнур: Бугин
[26.07.2025, 21:47:47] Акнур: Или ты на дежурстве
[26.07.2025, 21:47:58] Акнур: Мы с ербол
[26.07.2025, 21:47:59] Акнур: Хотим
[26.07.2025, 21:48:01] Акнур: если что
[26.07.2025, 21:48:02] Акнур: Как раз
[26.07.2025, 21:54:56] Аселек💕: менде температура😭😭😭
[26.07.2025, 21:55:11] Аселек💕: 37,4 болып жатырмын 3 день уйде
[30.07.2025, 16:57:38] Аселек💕: Хээээй тут?
[30.07.2025, 16:57:43] Акнур: Да
[30.07.2025, 16:58:07] Аселек💕: шо дел?
[30.07.2025, 16:58:21] Акнур: Дома ты че
[30.07.2025, 16:58:26] Аселек💕: Акнууур, у тебя до 1 или 4 августа не будет 10к?
[30.07.2025, 16:58:29] Аселек💕: Болею блять
[30.07.2025, 16:58:32] Аселек💕: Заебалась болеть
[30.07.2025, 16:58:42] Акнур: Бляяя я вообще без денег
[30.07.2025, 16:58:46] Акнур: Ерболдын акшасына живу
[30.07.2025, 16:58:49] Акнур: 😂😂😂😂
[30.07.2025, 16:59:01] Аселек💕: Ахахахах
[30.07.2025, 16:59:03] Аселек💕: Жиза
[30.07.2025, 17:00:21] Аселек💕: я все потратил
[30.07.2025, 17:00:29] Аселек💕: еще в сентябре Вьетнам барам
[30.07.2025, 17:00:32] Аселек💕: С другом🤣
[30.07.2025, 22:52:47] Акнур: Ему
[30.07.2025, 22:52:50] Акнур: Емааа
[30.07.2025, 22:52:51] Акнур: Что за друг
[30.07.2025, 23:18:45] Аселек💕: Ахахахах
[30.07.2025, 23:18:46] Аселек💕: Жай
[25.08.2025, 12:34:47] Акнур: Асель
[25.08.2025, 12:34:49] Акнур: Срочно
[25.08.2025, 12:35:04] Акнур: Лишай могут передаваться через половой акт?
[25.08.2025, 12:35:20] Аселек💕: Да
[25.08.2025, 12:35:49] Акнур: Псориаз или лишай
[25.08.2025, 12:35:51] Акнур: У ербола
[25.08.2025, 12:35:53] Акнур: Короче
[25.08.2025, 12:35:59] Акнур: Сходил к дерматологу
[25.08.2025, 12:36:08] Акнур: Диф диагностику делает между ними только после анализа
[25.08.2025, 12:36:09] Акнур: Сказала
[25.08.2025, 12:36:10] Акнур: Врач
[25.08.2025, 12:36:23] Акнур: Теперь вопрос мы трахались до этого и так я подумала псориаз
[25.08.2025, 12:36:27] Акнур: И не будет передаваться
[25.08.2025, 12:36:31] Акнур: А если теперь лишай
[25.08.2025, 12:37:55] Аселек💕: оны вообще кайдан жуктын?
[25.08.2025, 12:38:32] Аселек💕: Воще обычный лишай не передает я
[25.08.2025, 12:38:44] Акнур: Лишай через полотенце?
[25.08.2025, 12:38:48] Акнур: Не передается?
[25.08.2025, 12:38:49] Акнур: Разве?
[25.08.2025, 12:39:12] Аселек💕: ну не прям
[25.08.2025, 13:54:27] Аселек💕: че там
‎[26.08.2025, 12:39:22] Акнур: ‎<attached: -0000037-AUDIO-2025-08-26-12-39-22.opus>
[26.08.2025, 12:39:24] Акнур: Плслушай
[26.08.2025, 12:49:44] Аселек💕: не могу
[26.08.2025, 12:49:46] Аселек💕: телефон далеко
[26.08.2025, 12:49:48] Аселек💕: я на раб
[26.08.2025, 12:53:14] Акнур: Ща кое что
[26.08.2025, 12:53:15] Акнур: Покажу
[26.08.2025, 12:53:16] Акнур: Тебе понрав
[26.08.2025, 12:53:21] Акнур: Пока в туалете сижу
[26.08.2025, 13:03:08] Аселек💕: ахахах
[26.08.2025, 13:03:09] Аселек💕: гоу
‎[26.08.2025, 13:14:26] Акнур: ‎<attached: -0000026-PHOTO-2025-08-26-13-14-26.jpg>
[26.08.2025, 13:14:43] Аселек💕: Ахахахахахахахаххахахахахахах
[26.08.2025, 13:14:55] Аселек💕: Закину себе?
[26.08.2025, 13:15:31] Акнур: Да можешь
[26.08.2025, 13:15:40] Акнур: Ербол говорит слишком много уток для моего бэха
[26.08.2025, 13:15:47] Акнур: Я  тем временем:
[26.08.2025, 13:15:58] Акнур: Ну вот это утка топ
[26.08.2025, 13:16:00] Акнур: Согласись
[26.08.2025, 13:16:17] Аселек💕: ахахахахахахахаххах
[26.08.2025, 13:16:19] Аселек💕: каааайф
[26.08.2025, 13:16:24] Аселек💕: МАЛО УТОК
[26.08.2025, 13:16:27] Аселек💕: блять!!!
[26.08.2025, 13:39:11] Акнур: Ну блять
[31.08.2025, 18:50:56] Акнур: Сериал: эмпатия
[31.08.2025, 18:50:59] Акнур: Про психиатра
[31.08.2025, 18:51:09] Акнур: Сериал чекни
[31.08.2025, 18:56:14] Аселек💕: Окии
‎[07.09.2025, 14:57:51] Акнур: ‎<attached: -0000009-PHOTO-2025-09-07-14-57-51.jpg>
‎[07.09.2025, 14:57:56] Акнур: ‎<attached: -0000008-PHOTO-2025-09-07-14-57-56.jpg>
‎[07.09.2025, 14:57:56] Акнур: ‎<attached: -0000007-PHOTO-2025-09-07-14-57-56.jpg>
[07.09.2025, 14:57:57] Акнур: Быстро
[07.09.2025, 14:57:58] Акнур: Выбирвй
[07.09.2025, 14:58:00] Акнур: Плиз
[07.09.2025, 14:58:04] Акнур: Кайсысы лучше?
[07.09.2025, 17:52:00] Аселек💕: Это
[07.09.2025, 17:52:05] Аселек💕: Соре я после дж сплю
